Date,Open,High,Low,Close,Adj Close,Volume
2022-08-11,296.5133362,298.2366638,285.8333435,286.6300049,286.6300049,70155000
2022-08-12,289.4166565,300.1600037,285.0333252,300.0299988,300.0299988,79657200
2022-08-15,301.7866821,313.1333313,301.230011,309.3200073,309.3200073,89359200
2022-08-16,311.6666565,314.6666565,302.8833313,306.563324,306.563324,88136400
2022-08-17,303.3966675,309.6566772,300.0333252,303.9966736,303.9966736,68766000
2022-08-18,306,306.5,301.8533325,302.8699951,302.8699951,47500500
2022-08-19,299,300.3599854,292.5,296.6666565,296.6666565,61395300
2022-08-22,291.9133301,292.3999939,286.2966614,289.9133301,289.9133301,55843200
2022-08-23,291.4533386,298.8266602,287.9233398,296.4533386,296.4533386,63984900
2022-08-24,297.563324,303.6466675,296.5,297.0966797,297.0966797,57259800
2022-08-25,302.3599854,302.9599915,291.6000061,296.0700073,296.0700073,53230000
2022-08-26,297.4299927,302,287.4700012,288.0899963,288.0899963,57163900
2022-08-29,282.8299866,287.7399902,280.7000122,284.8200073,284.8200073,41864700
2022-08-30,287.8699951,288.480011,272.6499939,277.7000122,277.7000122,50541800
2022-08-31,280.6199951,281.25,271.8099976,275.6099854,275.6099854,52107300
2022-09-01,272.5799866,277.5799866,266.1499939,277.1600037,277.1600037,54287000
2022-09-02,281.0700073,282.3500061,269.0799866,270.2099915,270.2099915,50890100
2022-09-06,272.6799927,275.9899902,265.7399902,274.4200134,274.4200134,55860000
2022-09-07,273.1000061,283.8399963,272.269989,283.7000122,283.7000122,50028900
2022-09-08,281.2999878,289.5,279.7600098,289.2600098,289.2600098,53713100
2022-09-09,291.6700134,299.8500061,291.25,299.6799927,299.6799927,54338100
2022-09-12,300.7200012,305.4899902,300.3999939,304.4200134,304.4200134,48674600
2022-09-13,292.8999939,297.3999939,290.3999939,292.1300049,292.1300049,68229600
2022-09-14,292.2399902,306,291.6400146,302.6099854,302.6099854,72628700
2022-09-15,301.8299866,309.1199951,300.7200012,303.75,303.75,64795500
2022-09-16,299.6099854,303.7099915,295.6000061,303.3500061,303.3500061,87087800
2022-09-19,300.0899963,309.8399963,297.7999878,309.0700073,309.0700073,60231200
2022-09-20,306.9100037,313.3299866,305.5799866,308.730011,308.730011,61642800
2022-09-21,308.2900085,313.7999878,300.6300049,300.7999878,300.7999878,62555700
2022-09-22,299.8599854,301.2900085,285.8200073,288.5899963,288.5899963,70545400
2022-09-23,283.0899963,284.5,272.8200073,275.3299866,275.3299866,63748400
2022-09-26,271.8299866,284.0899963,270.3099976,276.0100098,276.0100098,58076900
2022-09-27,283.8399963,288.6700134,277.5100098,282.9400024,282.9400024,61925200
2022-09-28,283.0799866,289,277.5700073,287.8099976,287.8099976,54664800
2022-09-29,282.7600098,283.6499939,265.7799988,268.2099915,268.2099915,77620600